Date,Close,Open,High,Low,Vol.,Change %
"Jul 29, 1999",566.03,566.03,566.03,566.03,0,-2.56%
"Jul 30, 1999",562.7,562.7,562.7,562.7,0,-0.59%
"Aug 02, 1999",561.98,561.98,561.98,561.98,0,-0.13%
"Aug 03, 1999",557.77,557.77,557.77,557.77,0,-0.75%
"Aug 04, 1999",552.4,552.4,552.4,552.4,0,-0.96%
"Aug 05, 1999",557.3,557.3,557.3,557.3,0,0.89%
"Aug 06, 1999",556.97,556.97,556.97,556.97,0,-0.06%
"Aug 09, 1999",554.14,554.14,554.14,554.14,0,-0.51%
"Aug 10, 1999",543.6,543.6,543.6,543.6,0,-1.90%
"Aug 11, 1999",565.26,565.26,565.26,565.26,0,3.98%
"Aug 12, 1999",554.46,554.46,554.46,554.46,0,-1.91%
"Aug 13, 1999",574.84,574.84,574.84,574.84,0,3.68%
"Aug 16, 1999",578.04,578.04,578.04,578.04,0,0.56%
"Aug 17, 1999",578.19,578.19,578.19,578.19,0,0.03%
"Aug 18, 1999",572.95,572.95,572.95,572.95,0,-0.91%
"Aug 19, 1999",567.15,567.15,567.15,567.15,0,-1.01%
"Aug 20, 1999",572.76,572.76,572.76,572.76,0,0.99%
"Aug 23, 1999",587.36,587.36,587.36,587.36,0,2.55%
"Aug 24, 1999",596.36,596.36,596.36,596.36,0,1.53%
"Aug 25, 1999",610.41,610.41,610.41,610.41,0,2.36%
"Aug 26, 1999",600.98,600.98,600.98,600.98,0,-1.54%
"Aug 27, 1999",600.39,600.39,600.39,600.39,0,-0.10%
"Aug 30, 1999",591.14,591.14,591.14,591.14,0,-1.54%
"Aug 31, 1999",597.16,597.16,597.16,597.16,0,1.02%
"Sep 01, 1999",598.88,598.88,598.88,598.88,0,0.29%
"Sep 02, 1999",598.36,598.36,598.36,598.36,0,-0.09%
"Sep 03, 1999",622.64,622.64,622.64,622.64,0,4.06%
"Sep 07, 1999",623.16,623.16,623.16,623.16,0,0.08%
"Sep 08, 1999",614.76,614.76,614.76,614.76,0,-1.35%
"Sep 09, 1999",624.03,624.03,624.03,624.03,0,1.51%
"Sep 10, 1999",632.62,632.62,632.62,632.62,0,1.38%
"Sep 13, 1999",621.41,621.41,621.41,621.41,0,-1.77%
"Sep 14, 1999",628.24,628.24,628.24,628.24,0,1.10%
"Sep 15, 1999",612.83,612.83,612.83,612.83,0,-2.45%
"Sep 16, 1999",614.48,614.48,614.48,614.48,0,0.27%
"Sep 17, 1999",625.22,625.22,625.22,625.22,0,1.75%
"Sep 20, 1999",631.18,631.18,631.18,631.18,0,0.95%
"Sep 21, 1999",612.63,612.63,612.63,612.63,0,-2.94%
"Sep 22, 1999",617.78,617.78,617.78,617.78,0,0.84%
"Sep 23, 1999",591.64,591.64,591.64,591.64,0,-4.23%
"Sep 24, 1999",593.68,593.68,593.68,593.68,0,0.34%
